stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
SBPD16-32A,RAD,F,SI1,GIA,2476279545,,1.02000,1935.00000,-51.62500,UAE,6.44-5.17*3.49,67.50,67.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,NON,None,EX,EX,FNT,,,,,,,,6.44,5.17,3.49,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle",11/08/2023 12:00:00 AM,0.00,,Y,,4000.00000,0.00,,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2476279545,,UAE,1935.00000,False,,1.246,,A
SKS206,RD,E,VS1,GIA,2377208660,,1.01000,4524.00000,-42.73418,UAE,6.37-6.31*4.00,63.20,57.00,36.00,16.00,40.60,43.00,MED to STK,Medium,4.50,Faceted,NON,None,VG,VG,FNT,,,,,,,VG,6.37,6.31,4.00,,Pinpoints are not shown. Surface graining is not shown.,"Crystal, Needle, Natural",07/01/2021 12:00:00 AM,50.00,,Y,,7900.00000,80.00,,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2377208660,,UAE,3480.00000,False,,1.010,,A
VISA345A,EM,F,VVS2,HRD,250000020512,,5.43000,20400.00000,-60.00000,UAE,11.56x8.23x5.40,65.60,69.00,0.00,14.00,0.00,48.00,MED,Medium,3.50,Polished,,Linear,EX,EX,NON,,,,,,,,11.56,8.23,5.40,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,30/01/2025 12:00:00 AM,0.00,,Y,,51000.00000,0.00,,,,,,,,A,,,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=250000020512",,UAE,14497.23757,False,,1.405,,A
CS53456,CMB,U - V,SI2,GIA,5221814969,,15.02000,9000.00000,-21.73913,UAE,16.99x13.31x7.63,57.30,63.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,NON,None,VG,VG,NON,,,,,,,,16.99,13.31,7.63,,Additional clouds are not shown. Pinpoints are not shown.,"Feather, Cloud, Crystal, Cavity, Needle, Indented Natural, Natural",22/01/2024 12:00:00 AM,0.00,,Y,,11500.00000,0.00,,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5221814969,,UAE,9000.00000,False,,1.276,,A
CS53457,CU,K,SI2,HRD,250000068324,,10.12000,10500.00000,-43.24324,UAE,15.44x11.38x7.23,63.50,70.00,0.00,9.50,0.00,52.50,VTN,Very Thin,1.50,Faceted,,Pointed,EX,EX,NON,,,,,,,,15.44,11.38,7.23,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,09/04/2025 12:00:00 AM,0.00,,Y,,18500.00000,0.00,,,,,,,,A,,,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=250000068324",,UAE,8564.65613,False,,1.357,,A
CS53458,CU,K,SI2,HRD,250000068326,,11.13000,10500.00000,-43.24324,UAE,14.88x11.81x7.77,65.80,69.00,0.00,10.00,0.00,52.50,MED,Medium,3.50,Faceted,,Pointed,EX,EX,NON,,,,,,,,14.88,11.81,7.77,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,09/04/2025 12:00:00 AM,0.00,,Y,,18500.00000,0.00,,,,,,,,A,,,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=250000068326",,UAE,8551.92543,False,,1.260,,A
CS53459,CU,G,VS2,HRD,230000066542,,8.03000,18250.00000,-50.00000,UAE,13.08x9.96x6.76,67.90,66.00,0.00,13.50,0.00,52.50,THN,Thin,2.00,Faceted,,Pointed,EX,VG,NON,,,,,,,,13.08,9.96,6.76,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,04/05/2023 12:00:00 AM,0.00,,Y,,36500.00000,0.00,,,,,,,,A,,,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=230000066542",,UAE,8716.69988,False,,1.313,,A
VISA315A,PSM,FI Y,VS2,GIA,2231421905,,10.04000,25000.00000,85.18519,UAE,18.19x10.79x7.08,65.60,62.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,NON,None,VG,VG,NON,,Yellow,Fancy Intense,,,,,18.19,10.79,7.08,,"Additional clouds, pinpoints and surface graining are not shown.","Crystal, Feather, Cloud, Needle",27/02/2025 12:00:00 AM,0.00,,Y,,13500.00000,0.00,,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2231421905,SIM GEMS LTD,HONG KONG,9448.70916,False,,1.686,,M
VISA288A,CMB,FC Y,VS2,GIA,6237452992,,7.04000,12000.00000,33.33333,UAE,12.21x9.48x6.66,70.30,64.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,NON,None,VG,VG,NON,,Yellow,Fancy,,,,,12.21,9.48,6.66,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle, Natural, Extra Facet",03/03/2025 12:00:00 AM,0.00,,Y,,9000.00000,0.00,,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6237452992,SIM GEMS LTD,HONG KONG,10720.66761,False,,1.288,,M
VISA366A,OVB,I,SI1,GIA,6237564243,,9.03000,19950.00000,-5.00000,UAE,16.46x11.58x7.34,63.40,62.00,0.00,0.00,0.00,0.00,STK to THK,,0.00,Faceted,NON,None,EX,EX,NON,,,,,,,,16.46,11.58,7.34,,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Feather, Crystal, Needle, Indented Natural",16/04/2025 12:00:00 AM,0.00,,Y,,21000.00000,0.00,,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6237564243,,UAE,14400.00000,False,,1.421,,A
VISA374A,RD,F,SI1,GIA,1232567648,,5.02000,19800.00000,-45.00000,UAE,10.95-11.02x6.73,61.30,61.00,32.50,12.50,41.60,44.50,STK,,4.50,Faceted,NON,None,EX,EX,FNT,,,,,,,EX,11.02,10.95,6.73,,Clouds are not shown. Pinpoints are not shown.,"Feather, Etch Channel, Crystal, Needle",21/04/2025 12:00:00 AM,50.00,,Y,,36000.00000,80.00,,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1232567648,,UAE,15840.03984,False,,1.006,,A
