stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
DC43185,RD,D,SI1,GIA,2387315281,,0.40000,899.91000,-55.00450,HONG KONG,4.67-4.71x2.93,62.40,58.00,35.50,15.00,41.00,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Faint,,,,,,,EX,4.71,4.67,2.93,,,"Crystal, Cloud",21/04/2021 12:00:00 AM,50.00,,Y,,2000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2387315281,,HONG KONG,1608.75000,False,,1.009,,A
DC44270,RD,J,VS2,GIA,6381656007,,0.41000,592.02000,-54.46000,HONG KONG,4.73-4.75x2.94,62.00,59.00,35.00,14.50,41.20,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,4.75,4.73,2.94,,,"Feather, Crystal",11/05/2021 12:00:00 AM,50.00,,Y,,1300.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6381656007,,HONG KONG,1140.95122,False,,1.004,,A
DC41873,RD,J,VVS2,GIA,6375176709,,0.40000,737.62920,-47.31220,HONG KONG,4.62-4.70x2.95,63.30,58.00,35.00,15.00,41.60,44.50,MED to THK,Medium,4.00,Faceted,None,None,VG,VG,None,,,,,,,EX,4.70,4.62,2.95,,,"Cloud, Pinpoint, Feather",07/01/2021 12:00:00 AM,50.00,,Y,,1400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6375176709,,HONG KONG,1168.50000,False,,1.017,,A
DC44213,RD,H,SI1,GIA,6395614994,,0.40000,801.90000,-46.54000,HONG KONG,4.73-4.75x2.92,61.50,59.00,34.50,14.00,41.40,44.00,THN to STK,Thin,3.50,Faceted,None,None,EX,EX,None,,,,,,,EX,4.75,4.73,2.92,,,"Crystal, Feather",22/07/2021 12:00:00 AM,45.00,,Y,,1500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6395614994,,HONG KONG,1480.50000,False,,1.004,,A
DC42845,RD,D,SI1,GIA,6213691865,,0.50000,976.06080,-59.33080,HONG KONG,5.09-5.11x3.14,61.50,59.00,35.00,14.50,41.20,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.11,5.09,3.14,,,"Crystal, Feather",15/05/2021 12:00:00 AM,50.00,,Y,,2400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6213691865,,HONG KONG,2077.86000,False,,1.004,,A
DC42765,RD,D,SI1,GIA,2386743900,,0.50000,976.06080,-59.33080,HONG KONG,5.04-5.07x3.16,62.60,58.00,35.00,15.00,41.20,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.07,5.04,3.16,,,Crystal,25/05/2021 12:00:00 AM,50.00,,Y,,2400.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2386743900,,HONG KONG,2136.60000,False,,1.006,,A
DC44210,RD,G,SI2,GIA,1395468737,,0.46000,854.37000,-43.04200,HONG KONG,4.94-4.96x3.08,62.30,56.00,34.50,15.00,41.20,43.50,THN to STK,Thin,3.50,Faceted,None,None,EX,EX,None,,,,,,,EX,4.96,4.94,3.08,,,"Feather, Crystal",13/07/2021 12:00:00 AM,50.00,,Y,,1500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1395468737,,HONG KONG,1413.04348,False,,1.004,,A
SR1251,RD,J,IF,GIA,6315382487,,0.44000,864.70560,-45.95590,HONG KONG,4.89-4.91x3.00,61.10,58.00,34.50,14.50,40.80,43.00,MED to THK,Medium,4.00,Faceted,None,None,VG,EX,None,,,,,,,EX,4.91,4.89,3.00,,,Minor Details Of Polish,20/07/2021 12:00:00 AM,50.00,,Y,,1600.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6315382487,,HONG KONG,1166.00000,False,,1.004,,A
DC41898,RD,I,IF,GIA,1146588761,,0.43000,972.98189,-48.79043,HONG KONG,4.88-4.88x2.93,60.00,58.00,33.00,13.50,40.60,42.50,MED to THK,Medium,4.00,,None,None,VG,VG,None,,,,,,,VG,4.88,4.88,2.93,,,"Surface Graining, Minor Details Of Polish",19/01/2021 12:00:00 AM,55.00,,Y,,1900.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1146588761,,HONG KONG,1265.00000,False,,1.000,,A
DC43479,RD,H,SI2,GIA,6385134765,,0.42000,742.50000,-46.96429,HONG KONG,4.80-4.82x3.00,62.30,56.00,36.50,16.00,40.60,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,None,,,,,,,EX,4.82,4.80,3.00,,,Crystal,24/03/2021 12:00:00 AM,50.00,,Y,,1400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6385134765,,HONG KONG,1134.00000,False,,1.004,,A
