stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
KGS57-9A,RD,H,VVS2,IGI,585335207,,1.51000,3549.00000,-61.00000,INDIA,7.45-7.48x4.43,59.40,59.00,32.40,13.00,40.80,43.00,MED,Medium,0.00,Faceted,,Pointed,EX,EX,VERY SLIGHT,,,,,,,EX,7.48,7.45,4.43,,,,26/06/2023 12:00:00 AM,0.00,,False,None,9100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=585335207,,INDIA,5141.05960,False,,1.004,,A
DIN-101-2A,EM,N,SI1,IGI,680519116,,9.03000,6000.00000,-29.41176,INDIA,14.82x9.65x6.51,67.50,69.00,26.60,10.00,44.80,54.00,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,14.82,9.65,6.51,,,,04/02/2025 12:00:00 AM,,,True,None,0.00000,0.00,,,,No,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=680519116,,INDIA,8500.00000,False,,1.536,,A
DIN-101-2,EM,L,VVS2,HRD,250000015790,,8.08000,7020.00000,-48.00000,INDIA,14.17x9.34x6.32,67.70,68.00,0.00,11.00,0.00,54.00,THN,Thin,2.50,Polished,,Linear,EX,EX,nil,,,,,,,,14.17,9.34,6.32,,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,,27/01/2025 12:00:00 AM,0.00,,True,None,13500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,"https://my.hrdantwerp.com/?id,34&record_number=250000015790",,INDIA,7425.00000,False,,1.517,,A
DIN-101-1B,EM,G,IF,GIA,2486098235,,1.53000,5341.00000,-51.00000,INDIA,8.01x5.57x3.44,61.60,64.00,0.00,0.00,0.00,0.00,MED,Medium,0.00,Polished,None,None,EX,EX,FAINT,,,,,,,,8.01,5.57,3.44,,Minor details of polish are not shown.,,21/11/2023 12:00:00 AM,0.00,,True,None,10900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2486098235,,INDIA,5700.00000,False,,1.438,,A
DIN-98-1045A,EM,D,VVS2,GIA,2484242895,,0.50000,1512.00000,-46.00000,INDIA,5.58x3.73x2.33,62.50,69.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,5.58,3.73,2.33,,Cloud,Cloud,29/12/2023 12:00:00 AM,0.00,,True,None,2800.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2484242895,R2NET_SEGOMA,INDIA,1485.00000,False,,1.496,,M
DIN-101-4A,RAD,ST,SI1,GIA,1483404423,,1.00000,1300.00000,-27.77778,INDIA,6.53x5.26x3.44,65.40,75.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Polished,None,None,EX,Very Good,NONE,,,,,,,-,6.53,5.26,3.44,,Additional pinpoints are not shown.,"Feather, Cloud, Needle, Pinpoint",22/08/2024 12:00:00 AM,0.00,,True,None,1800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1483404423,,INDIA,1399.92000,False,,1.241,,A
DIN-107-23B,PS,I,VS2,IGI,617465593,,1.56000,2772.00000,-56.00000,INDIA,10.47x6.39x3.86,60.40,59.00,37.50,16.00,35.70,40.00,Slightly Thick,,0.00,Faceted,POINTED,Pointed,EX,EX,NONE,,,,,,,VERY GOOD,10.47,6.39,3.86,,,,06/02/2024 12:00:00 AM,0.00,,True,None,6300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=617465593,,INDIA,3014.74359,False,,1.638,,A
DIN-107-23E,RD,I,SI2,GIA,6485651155,,0.50000,630.00000,-58.00000,INDIA,4.93-4.96x3.21,65.00,54.00,36.00,17.00,40.60,43.00,Slightly Thick to Thick,,5.50,Faceted,None,None,EX,Very Good,NONE,,,,,,,GD,4.96,4.93,3.21,,Crystal,Crystal,23/02/2024 12:00:00 AM,50.00,,True,None,1500.00000,75.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6485651155,,INDIA,912.00000,False,,1.006,,A
JSA04-5B,CMB,H,VS2,IGI,626409668,,1.01000,1596.00000,-62.00000,INDIA,6.36x5.63x3.71,65.90,62.00,,11.00,,49.00,Medium to Very Thick,Medium,0.00,Faceted,POINTED,N,EX,EX,NONE,,,,,,,VERY GOOD,6.36,5.63,3.71,,,,17/04/2024 12:00:00 AM,,,True,None,4200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626409668,,INDIA,0.00000,False,,1.130,,A
DIN-20-492,RD,J,SI2,IGI,341892743,,3.01000,3300.00000,-70.00000,INDIA,8.66-8.92x5.85,66.60,57.00,,18.00,,42.00,Medium to Very Thick,Medium,0.00,Faceted,POINTED,,EX,GD,NONE,,,,,,,GD,8.92,8.66,5.85,,,,24/10/2018 12:00:00 AM,,,True,MIX,11000.00000,0.00,,,,No,,,,M,,None,,,,,,,,,https://www.igi.org/verify.php?r=341892743,,INDIA,3104.00000,False,,1.030,,M
